"rNames.tag","x.0.m.theta","x.0.s.area","x.0.s.perimeter","x.0.s.radius.sd","x.0.s.radius.min","x.a.b.mad","x.a.b.q001","x.a.m.eccentricity","x.a.m.theta","x.Ba.b.mad","x.Ba.b.q001","x.Ba.b.q005","x.Ba.b.q05","x.Ba.b.q099","x.Ba.m.cx","x.Ba.m.cy","x.Ba.m.theta","x.Ba.h.asm.s1","x.Ba.h.cor.s1","x.Ba.h.sen.s1","x.Ba.h.f13.s1","x.Ba.h.asm.s2","x.Ba.h.cor.s2","x.Ba.h.idm.s2","x.Ba.h.f12.s2","h.asm.s1","h.f13.s1","h.var.s2","h.sen.s2","h.dva.s2"
"ipat",1.50049994770129,77589,1212,12.0235265169072,134.343436613521,0.0581411764705882,0.4,0.353543381948278,1.46302298490203,0.112692117031268,-0.408379026515192,-0.113912208854194,0.321526364425337,0.924767658959229,208.176992706471,203.230168358797,1.44980486091363,0.0180326777240295,0.799568501163541,1.53238222256771,0.673448457858942,0.0110726266555322,0.414357811791842,0.352612529363271,0.0972407839147799,0.0552742777578777,0.697007919559665,6.41375871942942,1.20755635967568,3.00917251637483
"iacu",0.845408649306095,29850,1163,14.6608691853205,71.9066016595213,0.0523270588235294,0.376470588235294,0.63678435957849,0.838340856116252,0.123382199141259,-0.498698857457805,-0.0805217189291496,0.306504090926686,0.867025034476035,185.073983187291,170.936996915016,0.821541547837895,0.013779215252203,0.769482034708637,1.53474454379726,0.656670028508746,0.00814416654659848,0.401858372439257,0.326183127577904,0.0840018215746591,0.0567611402485111,0.643726950493353,5.49659765804391,1.1539843712219,3.29080714384605
"istr",-0.957933289511935,27682,1797,20.3774119395475,38.1525033984654,0.0581411764705882,0.380392156862745,0.575271261410181,-0.952407113507341,0.190982701927214,-0.445840040506675,-0.181991605224695,0.278303703277766,0.941411911905745,109.128061574226,173.853657144835,-0.919918938103913,0.0155263204663774,0.779246027759322,1.59813594240786,0.624247452156639,0.00763552114462788,0.382186556827045,0.264901785479977,0.0575623085985244,0.0403181699541283,0.611409285188062,5.85298924731582,1.18676897866239,4.45173891606933
"lmas",-1.1915590506026,46228,2178,21.45670097852,78.1623676049609,0.0639552941176472,0.356862745098039,0.679880579424845,-1.18960793183798,0.230590815882358,-0.617199006412466,-0.227028007324765,0.297383303067521,1.01451239331568,176.995170981556,205.650186736148,-1.15549976648368,0.0157528534736496,0.789448698833417,1.6332462871722,0.623885498760959,0.00729112669938829,0.398202804939631,0.244988523554604,0.0506988801774891,0.0331260929113849,0.634678945956551,7.28819997275467,1.23989089865847,5.02342629124821
"poll",-0.035660142684341,55614,990,12.9815974967228,107.853173466681,0.0813976470588234,0.341176470588235,0.600707239842669,-0.0209550603624588,0.31029319863607,-0.683706028380829,-0.318169148743164,0.291461210718021,1.09970348666723,214.365077482434,202.043554271759,-0.0143497714994044,0.0206473852389033,0.741722033431881,1.65624889080138,0.557949496309098,0.00834183215245525,0.283220915088168,0.20030996431125,0.0230927569805665,0.0225579479879859,0.573107594561004,7.77661842561734,1.24858916043856,7.99265228727186
"snep",1.3588733523724,60031,866,9.25674741696553,116.083064175171,0.0813976470588236,0.301960784313725,0.460540780035261,1.36607194103243,0.185849816834037,-0.682978707942501,-0.299179112167194,0.272761157912205,1.04836839643458,156.052092111998,209.015586864288,1.37360765655348,0.017965635764378,0.756278249122116,1.58364437752864,0.616441375722926,0.00901150111107767,0.332808504024394,0.275361694533207,0.0564351890587689,0.0343440284832895,0.704527518313768,8.52946604541885,1.29264300838843,5.21773867313916
"spsp",0.635183999307615,31599,1825,19.3889562984381,63.0612688101378,0.0465129411764706,0.317647058823529,0.626966867813161,0.646489826495173,0.126430336859627,-0.597769381106679,-0.227088271198485,0.286489735739645,0.810428836208318,219.84718883317,151.516238328628,0.686867968268759,0.0188451851275781,0.774148756484251,1.51501453718272,0.656068720609537,0.0110006722143724,0.385957822430895,0.347508857553302,0.088201834250157,0.0657224730043928,0.641547874547581,5.64617330394659,1.13583172628963,3.34660219896675
"squa",0.400904337334689,52195,3608,31.6704760054362,64.7811127370699,0.116282352941176,0.290196078431373,0.609800052210554,0.412174377403901,0.460511549596319,-1.12403508307015,-0.66085770922844,0.240669807843544,1.38669379382309,222.601000064227,194.552880516333,0.322043501835759,0.0607789988266541,0.753682338248107,1.56604898798144,0.560939684967301,0.0288374788967764,0.327133771624589,0.259311505308979,0.0308856347927669,0.0124168862259825,0.644023221798193,15.1750203084431,1.43006045312406,13.3349592504522
"bspp",0.956493531477578,31457,595,2.78500436519849,94.7640224780364,0.0290705882352942,0.23921568627451,0.390883819751832,0.971922936710721,0.0588537324315205,-0.286004317940553,-0.0731542759723047,0.147656458818815,0.343422816304747,109.953748228824,108.431775200547,1.06221610468828,0.047485081373865,0.845422382273448,1.18271098641697,0.65982044568318,0.0327312378713386,0.609015490834808,0.520651313795523,0.135616929332132,0.139355658491796,0.653953151019885,2.95823214449154,0.943155720647222,0.877153920619555
"espp",-0.0548395743325865,17452,803,13.9330955974249,48.7988272062897,0.09884,0.203921568627451,0.787098556588066,-0.0623943726248236,0.353017195183831,-0.647249453418026,-0.39711901141623,0.167927028018008,0.960351575279888,186.559624774851,112.149904363126,-0.0724836666967246,0.0608550511463226,0.719839309904605,1.50938494279045,0.512600498561302,0.0276638250159943,0.238463132840409,0.247564444161755,0.0177634724701708,0.0160682387471468,0.575877812422421,8.87227182300656,1.29595850336559,7.57812777547516
"iacu",0.789707627585002,26985,1276,15.3269743034816,67.450663067835,0.0523270588235294,0.368627450980392,0.535742875122156,0.780545075407162,0.125654997977296,-0.522512544921128,-0.100983897865473,0.299384022223983,0.806334240643425,160.147945344472,166.055266609337,0.762367993219279,0.014113207746424,0.796655947247292,1.52942119141631,0.664202183703218,0.00818043201498285,0.43298295682959,0.328013226159748,0.0860477793943998,0.0556547602977998,0.658499669905506,5.51749835616424,1.16296206601037,2.92611670638887
"ipat",-0.938783407678678,75391,1490,39.6250120363719,91.0770410722538,0.063955294117647,0.372549019607843,0.851627973834576,-0.944823431337774,0.176735231482343,-0.410308372068422,-0.127033150324967,0.308439930271863,0.942421599542483,200.775263844771,230.167526430176,-0.946080620055105,0.0145597639816924,0.82636868588858,1.60417939398912,0.673292597374781,0.00793814314252647,0.474563588058348,0.303937126294933,0.0835080894529539,0.0412413342294416,0.669901777015171,7.08629223685895,1.23896467883743,3.43699966363942
"ipat",-0.202524174298067,72100,1655,23.9205482654665,88.118560121113,0.0465129411764706,0.372549019607843,0.494590787201977,-0.199229313593206,0.107393754351593,-0.587583133552589,-0.146073810995679,0.311289746530186,0.908320951396977,223.964448848629,216.046336864832,-0.155678423504598,0.020382212986354,0.81027066360041,1.50703832105455,0.698495281271527,0.0125571353684435,0.458456818251426,0.382761961480698,0.119904156273292,0.0731695866768052,0.678747777341008,5.67439370310226,1.14904710762016,3.19391532896224
