"rNames.tag","s.area","s.perimeter","s.radius.mean","s.radius.sd","s.radius.min","s.radius.max","h.asm.s1","h.con.s1","h.cor.s1","h.var.s1","h.idm.s1","h.sav.s1","h.sva.s1","h.sen.s1","h.ent.s1","h.dva.s1","h.den.s1","h.f12.s1","h.f13.s1","h.asm.s2","h.con.s2","h.cor.s2","h.var.s2","h.idm.s2","h.sav.s2","h.sva.s2","h.sen.s2","h.ent.s2","h.dva.s2","h.den.s2","h.f12.s2","h.f13.s2","m.cx","m.cy","m.majoraxis","m.eccentricity","m.theta","b.mean","b.sd","b.mad","b.q001","b.q005","b.q05","b.q095","b.q099"
"ipat",57994,1248,134.338642392066,15.9624384025485,96.3734659792855,167.484290526203,0.0993780925267249,1.45738318813853,0.816408798182952,4.96909866517198,0.736001970600732,36.6764279904837,1279.78166069056,1.10449173143236,1.41719947249826,1.45738318813853,0.479929593371361,0.336931361507685,0.661053941224276,0.0831768033742544,3.13190146401333,0.59294500658158,4.84702499005361,0.653067237074594,36.6929078635925,1280.0371898191,1.08699555506006,1.52904352687388,3.13190146401333,0.600916235178315,0.194204969003728,0.529455984852137,208.883750906516,207.517527537491,280.931749788799,0.304530059862324,1.45541473986158,0.576328518095516,0.0637765297967475,0.0406988235294118,0.36078431372549,0.447058823529412,0.588235294117647,0.662745098039216,0.705882352941177
"istr",22873,894,85.5747651804201,10.3833959966574,69.1787743273951,113.836033024505,0.0595334361315609,1.85044590797526,0.769281193527438,5.01017571186927,0.672303695811273,34.6752479426039,1138.44854626858,1.14528687300118,1.52947047139898,1.85044590797526,0.534825121521174,0.260251205368555,0.605981396680271,0.0482016370148124,3.4183558811632,0.549824324386501,4.79669101013159,0.582222211841005,34.7346397590903,1142.16272100501,1.11330259285548,1.62424326295703,3.4183558811632,0.64310861994687,0.129934201295609,0.449498832176052,114.900501434765,108.531646311805,181.722676523493,0.465349825347856,0.691929234123809,0.543889318941847,0.0639280234178656,0.0523270588235294,0.345098039215686,0.419607843137255,0.556862745098039,0.627450980392157,0.654901960784314
"espp",29979,1215,97.5645839986821,7.63535444545265,78.1359992680408,116.846942810528,0.0195774078797074,2.78931511499618,0.834332227642776,9.41839989548983,0.556400062155783,31.6805312738691,951.016902205983,1.34684343775168,1.86276401382166,2.78931511499618,0.613477404083941,0.254234228586173,0.647117183553482,0.0141578268130649,5.75448916408669,0.6521823342939,9.27227845429386,0.441746437931951,31.6687650498796,948.42755010392,1.31925227865325,1.99167987081211,5.75448916408669,0.744134631031174,0.128031721056766,0.488343895832878,144.395023888559,128.515489500782,211.844162281626,0.500952477306896,0.354943125759229,0.496606186421999,0.0933125750913271,0.09884,0.286274509803922,0.333333333333333,0.505882352941176,0.631372549019608,0.67843137254902
"lmas",71988,2335,157.390783184959,30.1180682621029,78.6862013255896,235.403039666421,0.0503563458466509,1.71173052542612,0.740726532574544,4.30101367953935,0.636818274234134,34.9182737005212,1153.38028501765,1.12644094725204,1.53127539661685,1.71173052542612,0.528543368885252,0.216531439231733,0.557343455784884,0.0423984238802646,3.00797758880578,0.518720351750863,4.12497900103276,0.552869092947736,34.9412274963738,1155.62042801302,1.08670801082078,1.60812978133227,3.00797758880578,0.622390469819587,0.100762437359401,0.39613596178191,209.139891606106,233.907661237956,389.532816445783,0.754974323266733,-0.978325978574326,0.547819298859178,0.0581320330639498,0.0523270588235294,0.376470588235294,0.43921568627451,0.552941176470588,0.631372549019608,0.666666666666667
"nlab",24156,1937,95.9770855074546,19.3816042351372,57.8700747956398,144.23991326266,0.0751794339256761,1.44907001134394,0.791731972311639,4.47885853490685,0.701056601370635,36.3246077780869,1253.08333153117,1.1022147957399,1.43839726997561,1.44907001134394,0.493321294131661,0.279563477153363,0.611098259610722,0.0628526377474497,2.73597563666858,0.587323468613188,4.31491547080946,0.615671607012494,36.422783245796,1260.33055382876,1.07017559682349,1.52806876382379,2.73597563666858,0.599149515888589,0.143884322389562,0.459278577748179,266.763346476873,194.769369198415,200.771558699562,0.476981876082819,1.24793671721473,0.569778303770589,0.0592434785072427,0.0406988235294118,0.368627450980392,0.450980392156863,0.580392156862745,0.647058823529412,0.67843137254902
"poll",93746,1118,172.385347816465,14.8697229516164,139.122646419386,194.232704004431,0.0319091594273651,2.78112504689929,0.757100419228448,6.72484530040186,0.595485604236472,38.0237739186364,1371.82268618088,1.25824073841212,1.74819415762563,2.78112504689929,0.606389199382147,0.22675768323483,0.600515134136908,0.0235560901911913,6.31855385874599,0.433759081373385,6.57938648629543,0.477991269107739,38.0541818338467,1373.37735805998,1.21156566759783,1.87914611075212,6.31855385874599,0.754987202844426,0.0837602072041997,0.38925433397804,162.619424360005,252.35885014254,386.79475099407,0.594700315683316,1.56276362472002,0.597543466429731,0.0764274824851372,0.0697694117647058,0.380392156862745,0.462745098039216,0.6,0.717647058823529,0.768627450980392
"snep",93943,1194,172.245086862479,13.2808401579275,148.283288306683,201.566409262894,0.0409136378745993,1.58817738207345,0.879510727256838,7.59053435179526,0.676990451194427,30.328236024313,868.970853803973,1.27316944757175,1.63588512526346,1.58817738207345,0.504973813774563,0.351826124802704,0.709041482913856,0.033335207556331,2.99834296351292,0.768866662348807,7.48617588873652,0.598099222751212,30.3574572021907,869.686176026859,1.25866314753228,1.7389373260862,2.99834296351292,0.603665510785849,0.240819809893711,0.615484911617165,271.284337814502,233.973968993143,373.978053497504,0.503764673944397,0.124571940382726,0.472982928947528,0.0820970904469377,0.0755835294117647,0.243137254901961,0.313725490196078,0.490196078431373,0.576470588235294,0.619607843137255
"spsp",98215,2989,178.506208972907,32.2589624704086,119.35541762394,246.609714691629,0.0363408802739855,1.7395328804502,0.843730168307782,6.5657987905048,0.654230444284084,28.4279874554467,758.913074197882,1.25466576088179,1.64851458916223,1.7395328804502,0.529493276772183,0.307072354242891,0.670933297764298,0.0275866109979267,3.19174957029012,0.704529183818624,6.40112490895014,0.557716645721454,28.4385228397312,758.394738266312,1.23591288772844,1.76155202455564,3.19174957029012,0.635015765156293,0.18052999810263,0.543171825461659,332.146227334675,334.389020705687,390.561332758395,0.462820319547555,0.996675571977686,0.442599578954934,0.0751342292473903,0.0697694117647059,0.243137254901961,0.301960784313725,0.454901960784314,0.549019607843137,0.584313725490196
"squa",47512,4638,129.502473836744,21.6682603203146,78.0919245222702,191.281234872752,0.0129602155629451,4.52976863076366,0.812014275827244,13.0481718776704,0.484049426569189,37.4154772744726,1338.74214217658,1.42826811209566,2.0475784310166,4.52976863076366,0.702617317561857,0.216433014937665,0.625808779040415,0.00879794616046989,11.022710672875,0.536305764182145,12.8857533924623,0.358683121205602,37.3978133844609,1332.97430200309,1.39150839344413,2.20422278825676,11.022710672875,0.873261084082656,0.0766398788061042,0.40137141605213,172.278166090469,198.048619670776,283.061742080705,0.481324156044096,1.50880297068148,0.590081184856499,0.110575776839197,0.116282352941176,0.325490196078431,0.392156862745098,0.6,0.756862745098039,0.807843137254902
"bspp",25197,557,89.1839656600644,4.50396210836239,80.9870057303262,97.3328754017275,0.14040635379417,0.44054676547166,0.852983907110281,2.49829435952472,0.834778513448239,26.0315341478069,636.837942559183,0.906142372024502,1.04864343503639,0.44054676547166,0.319985032664603,0.442307561290739,0.669881976548718,0.130060237971786,0.667312505045612,0.766781448209086,2.43065913908069,0.799757683446371,26.0398805198999,636.999192770199,0.901386755974389,1.08909429120456,0.667312505045612,0.372803157526841,0.353278912656874,0.610987854541044,170.172723326116,182.498522542067,189.741168510312,0.480207614037065,0.862245962138313,0.404033938058297,0.0399875426285896,0.0406988235294118,0.333333333333333,0.345098039215686,0.407843137254902,0.462745098039216,0.533333333333333
