"rNames.tag","s.area","s.perimeter","s.radius.sd","s.radius.min","h.asm.s1","h.cor.s1","h.var.s2","h.sen.s2","h.dva.s2","m.eccentricity","m.theta","b.mad","b.q005"
"lmas",79760,2122,31.5895113884973,78.7079063271973,0.0399120282763529,0.789297762325627,5.23682980564401,1.16547081392081,3.33436496873122,0.738557154092248,-0.977464635743632,0.063955294117647,0.415686274509804
"istr",35972,974,15.7494428148318,73.7551723924066,0.0400938095416635,0.829416707285579,6.68730386377757,1.21630412897536,3.79897302051122,0.558641251027626,-1.21850905498448,0.063955294117647,0.388235294117647
"snep",58862,1111,14.2307811528339,96.9201859988185,0.0311808993694406,0.862568852857129,8.03477498934329,1.27937322625952,4.07548992547612,0.386226102505148,0.730759840355937,0.0930258823529412,0.258823529411765
"spsp",45019,2650,26.4394684304121,80.232556544427,0.0792299381480287,0.766768835418605,5.0449099120021,1.06348185443832,4.25136383685029,0.628559202014797,0.427771240246321,0.0406988235294116,0.490196078431373
"bspp",42713,701,8.39470862663708,102.88424714506,0.055342937691356,0.927740447977257,7.02982169629972,1.22653899701126,1.42434960121534,0.574908958371864,0.220751224939788,0.0930258823529412,0.313725490196078
"iacu",35614,949,16.3393916892129,71.9613878005124,0.0888302258659607,0.760614919292083,3.63906575344912,1.01805402041193,2.66748832010089,0.708976921526886,0.455080014756217,0.0348847058823528,0.505882352941176
"ipat",78494,1503,41.2102434496904,87.2527135863841,0.0620537806811589,0.86506239277185,6.75983190610991,1.19661844048988,3.52455897389436,0.850546272636461,-0.912611431417645,0.0523270588235294,0.419607843137255
"istr",27755,678,5.31856406714777,80.2251845195903,0.0617648960860834,0.841786534808978,4.18890245714498,1.10644500182211,1.76641933588011,0.23425821810862,1.41060744578813,0.0465129411764706,0.498039215686275
"snep",51613,1190,28.1696681844989,66.9637467620427,0.0409077416358262,0.808257748271302,6.88640986472516,1.21813264886097,4.72792334535991,0.77685484893383,-0.17909398072454,0.0639552941176472,0.368627450980392
"spsp",47151,2036,22.5619104812762,80.6769773897521,0.0742319868032348,0.764956689819599,3.94245629423759,1.04711757893968,2.88380010982976,0.637495126606281,0.407906934493647,0.0406988235294118,0.498039215686275
